,7SK,ADAMTS9-AS2,ATP6V1G2-DDX39B,ATXN8OS,BACE1-AS,BANCR,BCAR4,BCYRN1,BDNF-AS,BOK-AS1,CASC2,CBR3-AS1,CCAT1,CCAT2,CCDC26,CDKN2B-AS1,CRNDE,DANCR,DAOA-AS1,DGCR5,DISC2,DLEU1,DLEU2,DNM3OS,DSCAM-AS1,EPB41L4A-AS1,ESRG,GAS5,GHET1,H19,HAR1A,HAR1B,HCP5,HIF1A-AS1,HIF1A-AS2,HNF1A-AS1,HOTAIR,HULC,IFNG-AS1,IGF2-AS,KCNQ1DN,KCNQ1OT1,LINC00032,LINC00162,LINC00271,LSINCT5,MALAT1,MEG3,MESTIT1,MIAT,MINA,MIR100HG,MIR155HG,MIR17HG,MIR31HG,MKRN3-AS1,MYCNOS,NAMA,NPTN-IT1,NRON,PANDAR,PCA3,PCAT1,PDZRN3-AS1,PINK1-AS,PRINS,PSORS1C3,PTENP1,PVT1,RMST,RRP1B,SCAANT1,SNHG11,SNHG16,SNHG3,SNHG4,SOX2-OT,SPRY4-IT1,SRA1,TCL6,TDRG1,TERC,TRAF3IP2-AS1,TUG1,UCA1,WRAP53,WT1-AS,XIST,ZFAT-AS1
CASC2,8.909119651420534e-10,1.657024904085134e-08,3.6690237440699683e-10,1.657024904085134e-08,1.0167857118822812e-05,4.597309609234478e-06,0.0005388457011748726,2.2504414094291807e-09,1.0776997462598888e-06,9.85724676884604e-09,1.0,4.597309609234478e-06,4.912835943358953e-08,1.0167857118822812e-05,1.0167857118822812e-05,6.85213041352047e-12,1.0776997462598888e-06,2.385572705512936e-05,1.0776997462598888e-06,1.657024904085134e-08,6.881924545506144e-11,5.690957133288308e-10,2.385572705512936e-05,1.657024904085134e-08,2.385572705512936e-05,2.8290486625909514e-08,1.657024904085134e-08,4.912835943358953e-08,2.385572705512936e-05,1.8271667751815578e-14,1.5703650469862378e-07,6.030297162212605e-05,1.0167857118822812e-05,2.2504414094291807e-09,4.597309609234478e-06,4.597309609234478e-06,1.4437562437715606e-11,9.85724676884604e-09,2.181374908855045e-06,5.947929989169538e-09,5.947929989169538e-09,1.657024904085134e-08,8.909119651420534e-10,3.6690237440699683e-10,1.0167857118822812e-05,8.692729247171734e-08,4.7583964929823556e-12,6.881924545506144e-11,3.6690237440699683e-10,4.912835943358953e-08,1.4085225806837267e-09,2.385572705512936e-05,9.85724676884604e-09,2.385572705512936e-05,1.657024904085134e-08,3.6690237440699683e-10,8.909119651420534e-10,2.385572705512936e-05,8.692729247171734e-08,3.6690237440699683e-10,6.030297162212605e-05,2.181374908855045e-06,1.5703650469862378e-07,1.0167857118822812e-05,9.85724676884604e-09,5.690957133288308e-10,9.85724676884604e-09,9.85724676884604e-09,9.85724676884604e-09,1.0167857118822812e-05,8.909119651420534e-10,3.6690237440699683e-10,6.030297162212605e-05,5.511005834621212e-07,2.385572705512936e-05,2.385572705512936e-05,6.030297162212605e-05,1.5703650469862378e-07,8.909119651420534e-10,4.597309609234478e-06,4.597309609234478e-06,4.597309609234478e-06,0.00016819776046639122,9.85724676884604e-09,2.903546896746402e-07,8.909119651420534e-10,1.0167857118822812e-05,4.597309609234478e-06,1.657024904085134e-08
CBR3-AS1,3.6690237440699683e-10,1.657024904085134e-08,3.6690237440699683e-10,1.657024904085134e-08,1.0167857118822812e-05,1.0776997462598888e-06,6.030297162212605e-05,2.2504414094291807e-09,1.0776997462598888e-06,2.8290486625909514e-08,4.597309609234478e-06,1.0,1.657024904085134e-08,6.030297162212605e-05,1.0167857118822812e-05,1.4437562437715606e-11,2.903546896746402e-07,4.597309609234478e-06,4.597309609234478e-06,5.947929989169538e-09,6.881924545506144e-11,5.690957133288308e-10,4.597309609234478e-06,1.657024904085134e-08,2.385572705512936e-05,2.8290486625909514e-08,1.657024904085134e-08,2.2504414094291807e-09,2.385572705512936e-05,1.8271667751815578e-14,4.912835943358953e-08,1.0167857118822812e-05,2.181374908855045e-06,2.2504414094291807e-09,4.597309609234478e-06,2.385572705512936e-05,3.321087301858651e-12,9.85724676884604e-09,5.511005834621212e-07,5.947929989169538e-09,1.657024904085134e-08,1.657024904085134e-08,8.909119651420534e-10,3.6690237440699683e-10,6.030297162212605e-05,8.692729247171734e-08,2.3291455194885447e-12,6.881924545506144e-11,3.6690237440699683e-10,5.511005834621212e-07,3.6364483864589397e-09,2.385572705512936e-05,3.6364483864589397e-09,2.385572705512936e-05,1.657024904085134e-08,3.6690237440699683e-10,8.909119651420534e-10,2.385572705512936e-05,2.8290486625909514e-08,3.6690237440699683e-10,1.0167857118822812e-05,6.030297162212605e-05,5.511005834621212e-07,6.030297162212605e-05,9.85724676884604e-09,5.690957133288308e-10,9.85724676884604e-09,1.4085225806837267e-09,1.4085225806837267e-09,6.030297162212605e-05,8.909119651420534e-10,3.6690237440699683e-10,6.030297162212605e-05,5.511005834621212e-07,2.385572705512936e-05,1.0776997462598888e-06,1.0167857118822812e-05,5.511005834621212e-07,8.909119651420534e-10,2.385572705512936e-05,4.597309609234478e-06,4.597309609234478e-06,4.597309609234478e-06,9.85724676884604e-09,9.85724676884604e-09,8.909119651420534e-10,1.0167857118822812e-05,1.0776997462598888e-06,1.657024904085134e-08
CCAT1,9.85724676884604e-09,1.0776997462598888e-06,9.85724676884604e-09,1.0776997462598888e-06,2.903546896746402e-07,4.912835943358953e-08,8.692729247171734e-08,9.85724676884604e-09,1.5703650469862378e-07,1.5703650469862378e-07,4.912835943358953e-08,1.657024904085134e-08,1.0,2.903546896746402e-07,2.903546896746402e-07,5.8919589502862e-13,5.511005834621212e-07,4.912835943358953e-08,1.657024904085134e-08,8.692729247171734e-08,5.690957133288308e-10,1.657024904085134e-08,4.912835943358953e-08,1.0776997462598888e-06,1.5703650469862378e-07,5.511005834621212e-07,1.0776997462598888e-06,1.0338531838879573e-10,1.5703650469862378e-07,2.413595700635965e-15,8.692729247171734e-08,2.903546896746402e-07,1.0776997462598888e-06,8.692729247171734e-08,1.5703650469862378e-07,4.912835943358953e-08,9.91903900043586e-12,1.657024904085134e-08,9.85724676884604e-09,8.692729247171734e-08,2.903546896746402e-07,2.903546896746402e-07,9.85724676884604e-09,9.85724676884604e-09,8.692729247171734e-08,1.0167857118822812e-05,8.255225703204667e-13,4.612994764698737e-11,9.85724676884604e-09,1.4085225806837267e-09,4.912835943358953e-08,4.912835943358953e-08,1.5703650469862378e-07,4.912835943358953e-08,1.0776997462598888e-06,9.85724676884604e-09,9.85724676884604e-09,1.5703650469862378e-07,2.181374908855045e-06,9.85724676884604e-09,8.692729247171734e-08,2.8290486625909514e-08,1.0776997462598888e-06,2.903546896746402e-07,5.511005834621212e-07,5.947929989169538e-09,5.511005834621212e-07,1.657024904085134e-08,1.4437562437715606e-11,8.692729247171734e-08,9.85724676884604e-09,9.85724676884604e-09,8.692729247171734e-08,2.8290486625909514e-08,1.5703650469862378e-07,4.912835943358953e-08,9.85724676884604e-09,1.0776997462598888e-06,3.6364483864589397e-09,1.657024904085134e-08,4.912835943358953e-08,5.511005834621212e-07,1.5703650469862378e-07,1.657024904085134e-08,5.947929989169538e-09,9.85724676884604e-09,2.8290486625909514e-08,1.657024904085134e-08,1.0776997462598888e-06
CCAT2,1.4085225806837267e-09,8.692729247171734e-08,1.4085225806837267e-09,8.692729247171734e-08,0.002144133766637352,2.181374908855045e-06,0.00016819776046639122,9.85724676884604e-09,1.0167857118822812e-05,1.5703650469862378e-07,1.0167857118822812e-05,6.030297162212605e-05,2.903546896746402e-07,1.0,0.00016819776046639122,9.91903900043586e-12,2.181374908855045e-06,1.0167857118822812e-05,1.0167857118822812e-05,2.8290486625909514e-08,2.386117350764042e-10,2.2504414094291807e-09,6.030297162212605e-05,8.692729247171734e-08,0.0005388457011748726,1.5703650469862378e-07,8.692729247171734e-08,1.4085225806837267e-09,0.0005388457011748726,2.466046380796089e-14,2.903546896746402e-07,0.00016819776046639122,2.385572705512936e-05,9.85724676884604e-09,1.0167857118822812e-05,6.030297162212605e-05,9.91903900043586e-12,1.657024904085134e-08,4.597309609234478e-06,9.85724676884604e-09,2.8290486625909514e-08,8.692729247171734e-08,3.6364483864589397e-09,1.4085225806837267e-09,0.00016819776046639122,5.511005834621212e-07,6.85213041352047e-12,1.0338531838879573e-10,1.4085225806837267e-09,8.692729247171734e-08,1.657024904085134e-08,6.030297162212605e-05,1.657024904085134e-08,6.030297162212605e-05,8.692729247171734e-08,1.4085225806837267e-09,3.6364483864589397e-09,0.0005388457011748726,1.5703650469862378e-07,1.4085225806837267e-09,0.00016819776046639122,2.385572705512936e-05,4.597309609234478e-06,0.00016819776046639122,4.912835943358953e-08,2.2504414094291807e-09,4.912835943358953e-08,5.947929989169538e-09,8.909119651420534e-10,0.00016819776046639122,3.6364483864589397e-09,1.4085225806837267e-09,0.00016819776046639122,1.0776997462598888e-06,0.0005388457011748726,2.181374908855045e-06,2.385572705512936e-05,4.597309609234478e-06,3.6364483864589397e-09,1.0167857118822812e-05,6.030297162212605e-05,1.0167857118822812e-05,6.030297162212605e-05,4.912835943358953e-08,4.912835943358953e-08,3.6364483864589397e-09,4.597309609234478e-06,1.0167857118822812e-05,8.692729247171734e-08
CCDC26,1.4085225806837267e-09,8.692729247171734e-08,1.4085225806837267e-09,8.692729247171734e-08,0.00016819776046639122,2.181374908855045e-06,0.00016819776046639122,3.6364483864589397e-09,1.0167857118822812e-05,4.912835943358953e-08,1.0167857118822812e-05,1.0167857118822812e-05,2.903546896746402e-07,0.00016819776046639122,1.0,9.91903900043586e-12,2.181374908855045e-06,1.0167857118822812e-05,1.0167857118822812e-05,2.8290486625909514e-08,2.386117350764042e-10,2.2504414094291807e-09,6.030297162212605e-05,8.692729247171734e-08,0.0005388457011748726,1.5703650469862378e-07,8.692729247171734e-08,3.6364483864589397e-09,0.0005388457011748726,1.3576192005416709e-14,2.903546896746402e-07,0.00016819776046639122,2.385572705512936e-05,9.85724676884604e-09,1.0167857118822812e-05,6.030297162212605e-05,9.91903900043586e-12,4.912835943358953e-08,4.597309609234478e-06,9.85724676884604e-09,2.8290486625909514e-08,8.692729247171734e-08,3.6364483864589397e-09,1.4085225806837267e-09,0.00016819776046639122,5.511005834621212e-07,3.321087301858651e-12,2.386117350764042e-10,1.4085225806837267e-09,8.692729247171734e-08,5.947929989169538e-09,6.030297162212605e-05,1.657024904085134e-08,6.030297162212605e-05,8.692729247171734e-08,1.4085225806837267e-09,3.6364483864589397e-09,0.0005388457011748726,1.5703650469862378e-07,1.4085225806837267e-09,0.00016819776046639122,2.385572705512936e-05,1.0776997462598888e-06,0.00016819776046639122,4.912835943358953e-08,2.2504414094291807e-09,4.912835943358953e-08,5.947929989169538e-09,2.2504414094291807e-09,0.00016819776046639122,3.6364483864589397e-09,1.4085225806837267e-09,0.00016819776046639122,1.0776997462598888e-06,0.0005388457011748726,2.181374908855045e-06,4.597309609234478e-06,1.0776997462598888e-06,3.6364483864589397e-09,1.0167857118822812e-05,6.030297162212605e-05,1.0167857118822812e-05,6.030297162212605e-05,5.947929989169538e-09,4.912835943358953e-08,3.6364483864589397e-09,0.00016819776046639122,1.0167857118822812e-05,8.692729247171734e-08
CDKN2B-AS1,1.3576192005416709e-14,1.589035576517246e-13,1.3576192005416709e-14,1.589035576517246e-13,4.7583964929823556e-12,1.64107103246716e-12,9.91903900043586e-12,1.589035576517246e-13,1.64107103246716e-12,2.1928864385395873e-13,6.85213041352047e-12,1.4437562437715606e-11,5.8919589502862e-13,9.91903900043586e-12,9.91903900043586e-12,1.0,1.64107103246716e-12,6.85213041352047e-12,6.85213041352047e-12,1.589035576517246e-13,4.249633972382994e-15,1.8271667751815578e-14,6.85213041352047e-12,1.589035576517246e-13,6.85213041352047e-12,2.1928864385395873e-13,1.589035576517246e-13,3.0371185309229035e-13,6.85213041352047e-12,9.71653138619257e-17,5.8919589502862e-13,9.91903900043586e-12,2.3291455194885447e-12,1.589035576517246e-13,3.321087301858651e-12,6.85213041352047e-12,7.556354176463488e-15,4.222056299540671e-13,2.3291455194885447e-12,8.430584581605661e-14,8.430584581605661e-14,3.0371185309229035e-13,2.466046380796089e-14,1.3576192005416709e-14,9.91903900043586e-12,8.255225703204667e-13,3.198802840741895e-15,2.466046380796089e-14,1.3576192005416709e-14,1.1614367430886286e-12,6.171215768505845e-14,6.85213041352047e-12,1.1554827763755925e-13,1.4437562437715606e-11,1.589035576517246e-13,1.3576192005416709e-14,2.466046380796089e-14,6.85213041352047e-12,4.222056299540671e-13,2.466046380796089e-14,4.7583964929823556e-12,4.7583964929823556e-12,1.1614367430886286e-12,9.91903900043586e-12,1.1554827763755925e-13,1.8271667751815578e-14,1.1554827763755925e-13,3.3379711039693014e-14,2.1928864385395873e-13,9.91903900043586e-12,2.466046380796089e-14,1.3576192005416709e-14,9.91903900043586e-12,1.1614367430886286e-12,6.85213041352047e-12,3.321087301858651e-12,9.91903900043586e-12,1.1614367430886286e-12,2.466046380796089e-14,3.321087301858651e-12,3.321087301858651e-12,3.321087301858651e-12,6.85213041352047e-12,1.1554827763755925e-13,8.255225703204667e-13,2.466046380796089e-14,9.91903900043586e-12,3.321087301858651e-12,1.589035576517246e-13
CRNDE,2.2504414094291807e-09,1.5703650469862378e-07,2.2504414094291807e-09,1.5703650469862378e-07,2.181374908855045e-06,1.0776997462598888e-06,2.181374908855045e-06,5.947929989169538e-09,4.597309609234478e-06,8.692729247171734e-08,1.0776997462598888e-06,2.903546896746402e-07,5.511005834621212e-07,2.181374908855045e-06,2.181374908855045e-06,1.64107103246716e-12,1.0,1.0776997462598888e-06,2.903546896746402e-07,4.912835943358953e-08,1.5645637634714363e-10,9.85724676884604e-09,4.597309609234478e-06,1.5703650469862378e-07,2.385572705512936e-05,2.903546896746402e-07,1.5703650469862378e-07,3.6690237440699683e-10,4.597309609234478e-06,1.011502060235873e-14,1.5703650469862378e-07,1.0167857118822812e-05,6.030297162212605e-05,1.657024904085134e-08,4.597309609234478e-06,2.903546896746402e-07,1.4437562437715606e-11,2.8290486625909514e-08,1.5703650469862378e-07,1.657024904085134e-08,4.912835943358953e-08,1.5703650469862378e-07,2.2504414094291807e-09,2.2504414094291807e-09,2.181374908855045e-06,1.0776997462598888e-06,2.3291455194885447e-12,1.4437562437715606e-11,2.2504414094291807e-09,1.657024904085134e-08,9.85724676884604e-09,1.0776997462598888e-06,8.692729247171734e-08,1.0776997462598888e-06,1.5703650469862378e-07,2.2504414094291807e-09,2.2504414094291807e-09,4.597309609234478e-06,4.597309609234478e-06,2.2504414094291807e-09,1.0167857118822812e-05,5.511005834621212e-07,2.181374908855045e-06,1.0167857118822812e-05,8.692729247171734e-08,3.6364483864589397e-09,8.692729247171734e-08,2.8290486625909514e-08,2.386117350764042e-10,2.181374908855045e-06,5.947929989169538e-09,2.2504414094291807e-09,2.181374908855045e-06,5.511005834621212e-07,4.597309609234478e-06,1.0776997462598888e-06,1.5703650469862378e-07,5.511005834621212e-07,2.2504414094291807e-09,1.0776997462598888e-06,1.0776997462598888e-06,2.385572705512936e-05,4.597309609234478e-06,2.8290486625909514e-08,9.85724676884604e-09,5.947929989169538e-09,1.5703650469862378e-07,1.0776997462598888e-06,1.5703650469862378e-07
DANCR,8.909119651420534e-10,4.912835943358953e-08,8.909119651420534e-10,4.912835943358953e-08,1.0167857118822812e-05,1.0776997462598888e-06,6.030297162212605e-05,5.947929989169538e-09,4.597309609234478e-06,2.8290486625909514e-08,2.385572705512936e-05,4.597309609234478e-06,4.912835943358953e-08,1.0167857118822812e-05,1.0167857118822812e-05,6.85213041352047e-12,1.0776997462598888e-06,1.0,1.0776997462598888e-06,4.912835943358953e-08,1.5645637634714363e-10,1.4085225806837267e-09,2.385572705512936e-05,4.912835943358953e-08,2.385572705512936e-05,8.692729247171734e-08,4.912835943358953e-08,2.2504414094291807e-09,2.385572705512936e-05,1.011502060235873e-14,5.511005834621212e-07,0.0005388457011748726,1.0167857118822812e-05,5.947929989169538e-09,2.385572705512936e-05,4.597309609234478e-06,3.321087301858651e-12,2.8290486625909514e-08,2.181374908855045e-06,1.657024904085134e-08,1.657024904085134e-08,4.912835943358953e-08,8.909119651420534e-10,8.909119651420534e-10,1.0167857118822812e-05,2.903546896746402e-07,1.1614367430886286e-12,3.1126345240402813e-11,8.909119651420534e-10,4.912835943358953e-08,3.6364483864589397e-09,2.385572705512936e-05,2.8290486625909514e-08,2.385572705512936e-05,4.912835943358953e-08,8.909119651420534e-10,2.2504414094291807e-09,2.385572705512936e-05,8.692729247171734e-08,8.909119651420534e-10,1.0167857118822812e-05,2.181374908855045e-06,5.511005834621212e-07,6.030297162212605e-05,2.8290486625909514e-08,1.4085225806837267e-09,2.8290486625909514e-08,3.6364483864589397e-09,1.4085225806837267e-09,1.0167857118822812e-05,2.2504414094291807e-09,8.909119651420534e-10,6.030297162212605e-05,2.181374908855045e-06,2.385572705512936e-05,4.597309609234478e-06,1.0167857118822812e-05,1.5703650469862378e-07,8.909119651420534e-10,1.0776997462598888e-06,4.597309609234478e-06,2.385572705512936e-05,0.00016819776046639122,9.85724676884604e-09,9.85724676884604e-09,2.2504414094291807e-09,2.181374908855045e-06,1.0776997462598888e-06,4.912835943358953e-08
DAOA-AS1,8.909119651420534e-10,4.912835943358953e-08,8.909119651420534e-10,4.912835943358953e-08,1.0167857118822812e-05,2.903546896746402e-07,1.0167857118822812e-05,8.909119651420534e-10,1.0776997462598888e-06,2.8290486625909514e-08,1.0776997462598888e-06,4.597309609234478e-06,1.657024904085134e-08,1.0167857118822812e-05,1.0167857118822812e-05,6.85213041352047e-12,2.903546896746402e-07,1.0776997462598888e-06,1.0,1.657024904085134e-08,3.6690237440699683e-10,1.4085225806837267e-09,4.597309609234478e-06,4.912835943358953e-08,2.385572705512936e-05,8.692729247171734e-08,4.912835943358953e-08,8.909119651420534e-10,0.00016819776046639122,3.198802840741895e-15,1.5703650469862378e-07,1.0167857118822812e-05,2.181374908855045e-06,5.947929989169538e-09,1.0776997462598888e-06,1.0776997462598888e-06,8.255225703204667e-13,9.85724676884604e-09,2.181374908855045e-06,5.947929989169538e-09,1.657024904085134e-08,4.912835943358953e-08,2.2504414094291807e-09,8.909119651420534e-10,0.0005388457011748726,8.692729247171734e-08,5.8919589502862e-13,1.4437562437715606e-11,8.909119651420534e-10,1.5703650469862378e-07,1.4085225806837267e-09,4.597309609234478e-06,9.85724676884604e-09,2.385572705512936e-05,4.912835943358953e-08,8.909119651420534e-10,2.2504414094291807e-09,2.385572705512936e-05,8.692729247171734e-08,8.909119651420534e-10,6.030297162212605e-05,6.030297162212605e-05,1.5703650469862378e-07,6.030297162212605e-05,2.8290486625909514e-08,1.4085225806837267e-09,2.8290486625909514e-08,3.6364483864589397e-09,5.690957133288308e-10,6.030297162212605e-05,2.2504414094291807e-09,8.909119651420534e-10,1.0167857118822812e-05,1.5703650469862378e-07,0.00016819776046639122,2.903546896746402e-07,5.511005834621212e-07,1.5703650469862378e-07,2.2504414094291807e-09,2.385572705512936e-05,2.385572705512936e-05,1.0776997462598888e-06,4.597309609234478e-06,3.6364483864589397e-09,1.4085225806837267e-09,2.2504414094291807e-09,5.511005834621212e-07,1.0776997462598888e-06,4.912835943358953e-08
DGCR5,2.903546896746402e-07,0.00016819776046639122,2.903546896746402e-07,0.00016819776046639122,2.8290486625909514e-08,1.657024904085134e-08,2.8290486625909514e-08,8.692729247171734e-08,4.912835943358953e-08,1.0167857118822812e-05,1.657024904085134e-08,5.947929989169538e-09,8.692729247171734e-08,2.8290486625909514e-08,2.8290486625909514e-08,1.589035576517246e-13,4.912835943358953e-08,4.912835943358953e-08,1.657024904085134e-08,1.0,9.85724676884604e-09,1.5703650469862378e-07,4.912835943358953e-08,0.00016819776046639122,4.912835943358953e-08,6.030297162212605e-05,0.00016819776046639122,4.612994764698737e-11,1.5703650469862378e-07,8.003516335307651e-16,0.00016819776046639122,2.903546896746402e-07,2.903546896746402e-07,4.597309609234478e-06,1.5703650469862378e-07,5.947929989169538e-09,5.8919589502862e-13,4.912835943358953e-08,2.8290486625909514e-08,4.597309609234478e-06,2.385572705512936e-05,2.903546896746402e-07,2.903546896746402e-07,2.903546896746402e-07,8.692729247171734e-08,2.181374908855045e-06,1.1554827763755925e-13,1.1614367430886286e-12,2.903546896746402e-07,5.690957133288308e-10,1.5703650469862378e-07,1.657024904085134e-08,0.0005388457011748726,4.912835943358953e-08,0.00016819776046639122,2.903546896746402e-07,2.903546896746402e-07,4.912835943358953e-08,2.181374908855045e-06,2.903546896746402e-07,8.692729247171734e-08,2.8290486625909514e-08,1.0776997462598888e-06,8.692729247171734e-08,6.030297162212605e-05,1.5703650469862378e-07,6.030297162212605e-05,4.912835943358953e-08,1.4437562437715606e-11,2.8290486625909514e-08,2.903546896746402e-07,2.903546896746402e-07,2.8290486625909514e-08,9.85724676884604e-09,1.5703650469862378e-07,1.5703650469862378e-07,9.85724676884604e-09,2.903546896746402e-07,9.85724676884604e-09,1.657024904085134e-08,4.912835943358953e-08,1.5703650469862378e-07,1.5703650469862378e-07,4.912835943358953e-08,3.6690237440699683e-10,8.692729247171734e-08,3.6364483864589397e-09,1.657024904085134e-08,0.00016819776046639122
DISC2,4.597309609234478e-06,8.692729247171734e-08,4.597309609234478e-06,8.692729247171734e-08,2.386117350764042e-10,6.881924545506144e-11,2.386117350764042e-10,3.6364483864589397e-09,8.909119651420534e-10,1.657024904085134e-08,6.881924545506144e-11,6.881924545506144e-11,5.690957133288308e-10,2.386117350764042e-10,2.386117350764042e-10,4.249633972382994e-15,1.5645637634714363e-10,1.5645637634714363e-10,3.6690237440699683e-10,9.85724676884604e-09,1.0,2.181374908855045e-06,1.5645637634714363e-10,8.692729247171734e-08,3.6690237440699683e-10,4.912835943358953e-08,8.692729247171734e-08,3.0371185309229035e-13,8.909119651420534e-10,2.1561218927737155e-17,2.8290486625909514e-08,5.690957133288308e-10,5.690957133288308e-10,9.85724676884604e-09,1.5645637634714363e-10,6.881924545506144e-11,4.249633972382994e-15,3.6690237440699683e-10,1.0338531838879573e-10,3.6364483864589397e-09,2.8290486625909514e-08,1.4085225806837267e-09,4.597309609234478e-06,4.597309609234478e-06,5.690957133288308e-10,5.947929989169538e-09,1.8253945727364775e-15,2.466046380796089e-14,4.597309609234478e-06,4.7583964929823556e-12,5.511005834621212e-07,1.5645637634714363e-10,1.657024904085134e-08,1.5645637634714363e-10,8.692729247171734e-08,4.597309609234478e-06,4.597309609234478e-06,3.6690237440699683e-10,5.947929989169538e-09,4.597309609234478e-06,5.690957133288308e-10,2.386117350764042e-10,3.6364483864589397e-09,5.690957133288308e-10,4.912835943358953e-08,2.181374908855045e-06,4.912835943358953e-08,1.5703650469862378e-07,2.1928864385395873e-13,2.386117350764042e-10,4.597309609234478e-06,4.597309609234478e-06,2.386117350764042e-10,3.6364483864589397e-09,8.909119651420534e-10,6.881924545506144e-11,4.612994764698737e-11,1.4085225806837267e-09,8.692729247171734e-08,1.5645637634714363e-10,3.6690237440699683e-10,3.6690237440699683e-10,3.6690237440699683e-10,6.881924545506144e-11,3.321087301858651e-12,1.0776997462598888e-06,4.612994764698737e-11,6.881924545506144e-11,8.692729247171734e-08
DLEU1,0.0005388457011748726,2.181374908855045e-06,0.0005388457011748726,2.181374908855045e-06,2.2504414094291807e-09,1.4085225806837267e-09,2.2504414094291807e-09,1.5703650469862378e-07,3.6364483864589397e-09,2.903546896746402e-07,5.690957133288308e-10,5.690957133288308e-10,1.657024904085134e-08,2.2504414094291807e-09,2.2504414094291807e-09,1.8271667751815578e-14,9.85724676884604e-09,1.4085225806837267e-09,1.4085225806837267e-09,1.5703650469862378e-07,2.181374908855045e-06,1.0,3.6364483864589397e-09,2.181374908855045e-06,9.85724676884604e-09,1.0776997462598888e-06,2.181374908855045e-06,1.64107103246716e-12,9.85724676884604e-09,7.528299090191469e-17,1.5703650469862378e-07,5.947929989169538e-09,1.657024904085134e-08,1.5703650469862378e-07,3.6364483864589397e-09,5.690957133288308e-10,3.3379711039693014e-14,3.6364483864589397e-09,8.909119651420534e-10,4.912835943358953e-08,5.511005834621212e-07,4.912835943358953e-08,0.0005388457011748726,0.0005388457011748726,5.947929989169538e-09,2.903546896746402e-07,1.3576192005416709e-14,1.1554827763755925e-13,0.0005388457011748726,6.881924545506144e-11,2.385572705512936e-05,1.4085225806837267e-09,1.0776997462598888e-06,1.4085225806837267e-09,2.181374908855045e-06,0.0005388457011748726,0.0005388457011748726,3.6364483864589397e-09,8.692729247171734e-08,0.0005388457011748726,5.947929989169538e-09,2.2504414094291807e-09,4.912835943358953e-08,5.947929989169538e-09,1.0776997462598888e-06,0.00016819776046639122,1.0776997462598888e-06,4.597309609234478e-06,1.1614367430886286e-12,2.2504414094291807e-09,0.0005388457011748726,0.0005388457011748726,2.2504414094291807e-09,1.5703650469862378e-07,9.85724676884604e-09,1.4085225806837267e-09,3.6690237440699683e-10,4.912835943358953e-08,1.0167857118822812e-05,1.4085225806837267e-09,3.6364483864589397e-09,9.85724676884604e-09,3.6364483864589397e-09,5.690957133288308e-10,4.612994764698737e-11,6.030297162212605e-05,3.6690237440699683e-10,5.690957133288308e-10,2.181374908855045e-06
DLEU2,8.909119651420534e-10,4.912835943358953e-08,8.909119651420534e-10,4.912835943358953e-08,6.030297162212605e-05,1.0776997462598888e-06,6.030297162212605e-05,5.947929989169538e-09,4.597309609234478e-06,2.8290486625909514e-08,2.385572705512936e-05,4.597309609234478e-06,4.912835943358953e-08,6.030297162212605e-05,6.030297162212605e-05,6.85213041352047e-12,4.597309609234478e-06,2.385572705512936e-05,4.597309609234478e-06,4.912835943358953e-08,1.5645637634714363e-10,3.6364483864589397e-09,1.0,4.912835943358953e-08,0.002144133766637352,8.692729247171734e-08,4.912835943358953e-08,2.2504414094291807e-09,0.00016819776046639122,1.011502060235873e-14,5.511005834621212e-07,0.0005388457011748726,1.0167857118822812e-05,5.947929989169538e-09,4.597309609234478e-06,4.597309609234478e-06,3.321087301858651e-12,9.85724676884604e-09,1.0167857118822812e-05,1.657024904085134e-08,1.657024904085134e-08,4.912835943358953e-08,2.2504414094291807e-09,8.909119651420534e-10,6.030297162212605e-05,2.903546896746402e-07,1.1614367430886286e-12,3.1126345240402813e-11,8.909119651420534e-10,1.5703650469862378e-07,3.6364483864589397e-09,2.385572705512936e-05,8.692729247171734e-08,0.00016819776046639122,4.912835943358953e-08,8.909119651420534e-10,2.2504414094291807e-09,0.00016819776046639122,8.692729247171734e-08,8.909119651420534e-10,6.030297162212605e-05,1.0167857118822812e-05,5.511005834621212e-07,6.030297162212605e-05,2.8290486625909514e-08,1.4085225806837267e-09,2.8290486625909514e-08,3.6364483864589397e-09,1.4085225806837267e-09,6.030297162212605e-05,2.2504414094291807e-09,8.909119651420534e-10,6.030297162212605e-05,5.511005834621212e-07,0.00016819776046639122,4.597309609234478e-06,1.0167857118822812e-05,5.511005834621212e-07,2.2504414094291807e-09,4.597309609234478e-06,2.385572705512936e-05,4.597309609234478e-06,0.00016819776046639122,3.6364483864589397e-09,9.85724676884604e-09,2.2504414094291807e-09,2.181374908855045e-06,4.597309609234478e-06,4.912835943358953e-08
